week,team,player_id,player_points,fantasy_position,active_flag,player_depth_chart_position,player_name,player_position,player_team,user_id,team_avatar,team_name,user_name
1.0,1.0,1166,19.08,SUPER_FLEX,1.0,QB,Kirk Cousins,QB,MIN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
2.0,1.0,1234,11.06,QB,1.0,QB,Russell Wilson,QB,DEN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
2.0,1.0,6828,7.2,RB,1.0,RB,AJ Dillon,RB,GB,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
2.0,1.0,7607,7.5,RB,1.0,RB,Michael Carter,RB,NYJ,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
2.0,1.0,4039,25.3,WR,1.0,,Cooper Kupp,WR,LAR,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
2.0,1.0,7571,18.8,WR,1.0,,Rashod Bateman,WR,BAL,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
2.0,1.0,1466,10.1,TE,1.0,TE,Travis Kelce,TE,KC,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
2.0,1.0,7553,3.9,FLEX,1.0,LTE,Kyle Pitts,TE,ATL,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
2.0,1.0,1166,7.84,SUPER_FLEX,1.0,QB,Kirk Cousins,QB,MIN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
3.0,1.0,1234,9.06,QB,1.0,QB,Russell Wilson,QB,DEN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
3.0,1.0,8155,12.2,RB,1.0,,Breece Hall,RB,NYJ,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
3.0,1.0,5284,9.1,RB,1.0,RB,Jeff Wilson,RB,MIA,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
3.0,1.0,4039,14.4,WR,1.0,,Cooper Kupp,WR,LAR,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
3.0,1.0,8135,2.6,WR,1.0,LWR,Treylon Burks,WR,TEN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
3.0,1.0,1466,17.9,TE,1.0,TE,Travis Kelce,TE,KC,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
3.0,1.0,7553,13.7,FLEX,1.0,LTE,Kyle Pitts,TE,ATL,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
3.0,1.0,1166,18.3,SUPER_FLEX,1.0,QB,Kirk Cousins,QB,MIN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
7.0,1.0,3257,8.12,QB,1.0,QB,Jacoby Brissett,QB,CLE,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
7.0,1.0,8155,13.2,RB,1.0,,Breece Hall,RB,NYJ,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
7.0,1.0,8129,13.7,RB,1.0,RB,Dameon Pierce,RB,HOU,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
7.0,1.0,8144,14.1,WR,1.0,LWR,Chris Olave,WR,NO,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
7.0,1.0,7571,6.2,WR,1.0,,Rashod Bateman,WR,BAL,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
7.0,1.0,1466,15.8,TE,1.0,TE,Travis Kelce,TE,KC,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
7.0,1.0,7553,3.9,FLEX,1.0,LTE,Kyle Pitts,TE,ATL,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
7.0,1.0,2711,14.44,SUPER_FLEX,1.0,QB,Taylor Heinicke,QB,WAS,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
6.0,1.0,1234,13.82,QB,1.0,QB,Russell Wilson,QB,DEN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
6.0,1.0,8155,19.1,RB,1.0,,Breece Hall,RB,NYJ,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
6.0,1.0,5284,-0.5,RB,1.0,RB,Jeff Wilson,RB,MIA,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
6.0,1.0,4039,13.2,WR,1.0,,Cooper Kupp,WR,LAR,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
6.0,1.0,8121,4.1,WR,1.0,RWR,Romeo Doubs,WR,GB,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
6.0,1.0,1466,19.2,TE,1.0,TE,Travis Kelce,TE,KC,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
6.0,1.0,6828,7.2,FLEX,1.0,RB,AJ Dillon,RB,GB,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
6.0,1.0,1166,16.5,SUPER_FLEX,1.0,QB,Kirk Cousins,QB,MIN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
4.0,1.0,1234,26.98,QB,1.0,QB,Russell Wilson,QB,DEN,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
4.0,1.0,8155,14.8,RB,1.0,,Breece Hall,RB,NYJ,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
4.0,1.0,6828,8.9,RB,1.0,RB,AJ Dillon,RB,GB,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
4.0,1.0,4039,19.2,WR,1.0,,Cooper Kupp,WR,LAR,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
4.0,1.0,7571,3.2,WR,1.0,,Rashod Bateman,WR,BAL,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
4.0,1.0,1466,24.2,TE,1.0,TE,Travis Kelce,TE,KC,563936546516406272,https://sleepercdn.com/uploads/c8337cb01e0372c3ae31a774f76dc8be,Team Wal,wallywormser
