player_depth_chart_position,player_id,player_name,player_position,player_team
TE,111,Marcedes Lewis,TE,GB
,1461,Mike Catapano,LB,
,6446,Jon Hilliman,RB,
,7748,Dwayne Johnson,DB,NYG
,3349,Sebastian Tretola,G,
,7064,Darrynton Evans,RB,CHI
NT,3904,Ra'Zahn Howard,NT,
,5701,Connor Flagel,DE,
RB,8138,James Cook,RB,BUF
RB,7594,Chuba Hubbard,RB,CAR
,2145,Chase Rettig,QB,
,3404,Prince Charles Charles Iworah,CB,
,2071,Jarrod Pughsley,G,
,5469,Chris Schleuger,G,
,2656,Chi Chi Ariguzo,ILB,
,6756,Kahani Smith,FS,
SS,6799,Grant Delpit,DB,CLE
,7108,Hasise Dubois,WR,
RT,7706,Josh Ball,OT,DAL
,2370,D'Joun Smith,CB,
,2239,Jonathan Brown,OLB,
,7072,Michael Turk,P,
,175,Jordy Nelson,WR,
,1666,LaRoy Reynolds,LB,NE
FS,5671,Joshua Kalu,DB,TEN
,5602,Claudy Mathieu,DL,
,6871,Cameron Dantzler,CB,MIN
RWR,4036,Corey Davis,WR,NYJ
,2156,Antone Exum,SS,
,6618,Isaiah Searight,TE,
,7094,Lirim Hajrullahu,K,
SWR,6271,Olamide Zaccheaus,WR,ATL
,408,Chris Canty,DE,
,1768,K Browner,DE,
,7519,Aaron Patrick,DE,DEN
,311,Brandon Fields,P,
,7759,Michal Menet,OL,
,2313,Vic Beasley,DE,
,7494,Kyahva Tezino,LB,
,2560,Zach Zenner,RB,
,8650,Lujuan Winningham,WR,
,8586,Ferrod Gardner,DB,
,6924,Netane Muti,G,DEN
,61,Cortland Finnegan,CB,
TE,8484,Ko Kieft,TE,TB
RCB,7730,Darren Hall,CB,ATL
,6050,Brandon Knight,T,
,2752,Trent Steelman,WR,
,2392,Sammie Coates,WR,
QB,2711,Taylor Heinicke,QB,WAS
,2454,David Parry,DT,
LWR,8114,Erik Ezukanma,WR,MIA
,5208,Matt Linehan,QB,
,753,Jason Williams,OLB,
,6311,Patrick Laird,RB,TB
C,8463,Zach Tom,OL,GB
,1860,Brent Qvale,OT,
C,3187,Ryan Kelly,C,IND
,7845,Thomas Schaffer,DE,
,2899,Jalil Carter,CB,
,3212,Kalan Reed,CB,
,8767,Nolan Cockrill,DT,
,837,Buster Skrine,DB,
,5163,Ryan Nall,RB,
,695,Ted Ginn,WR,
RB,7551,Deon Jackson,RB,IND
,1285,Josh Kaddu,OLB,
,5609,Stephen Baggett,TE,
WLB,6848,Anfernee Jennings,LB,NE
,2266,Brandon Thomas,G,
QB,4179,Joshua Dobbs,QB,CLE
,2884,Josh Shirley,LB,
,6564,Ethan Greenidge,OL,NO
,2702,John Chiles,WR,
,3626,Lars Hanson,OT,
,6349,Jayson Stanley,CB,
,4014,Mike Nolan,,
,8045,Parker Ferguson,OL,
,304,Jake Long,T,
,5804,Julian Williams,WR,
,4631,Charlie Miller,FS,
,8074,Matt Seybert,TE,
,2119,James Franklin,QB,
NB,5864,Byron Murphy,CB,ARI
,3655,Reggie Diggs,WR,
RILB,4606,Dylan Cole,LB,TEN
,7000,Chapelle Russell,LB,PIT
,5546,Kyle Meadows,OT,
,7800,Deonte Brown,G,CAR
RDT,6627,Shy Tuttle,DT,NO
,1856,Jeremiah George,LB,
,3877,Kelsey Young,RB,
,58,Greg Olsen,TE,
,8768,Jesse Bramble,DB,
,3130,John Defilippo,,
,590,Corey Wootton,DE,
,320,Darnell Dockett,DT,
NT,754,Al Woods,DT,SEA
,4735,Alex Jenkins,DE,
,8239,Ricky Person,RB,
,4761,Brady Sheldon,LB,
,5756,Garrett Dickerson,TE,
,7733,Josh Pederson,TE,
,923,Chris Conte,FS,
,945,Kevin Cone,WR,
RWR,830,A.J. Green,WR,ARI
,6581,Derick Roberson,LB,
,5384,Jonah Trinnaman,WR,
LTE,7553,Kyle Pitts,TE,ATL
,8761,Josh Rivas,G,
,1015,Jed Collins,FB,
,2075,Dustin Vaughan,QB,
,1985,Marcel Jensen,TE,
,4375,Johnathan Calvin,DT,
,769,Jordan Norwood,WR,
,1385,Troy Stoudermire,CB,
,7239,Clay Cordasco,G,
,1440,Bjoern Werner,LB,
,1155,Jonte Green,CB,
,1791,Karim Barton,G,
,7351,Kirk Merritt,WR,NO
,8304,Tre Williams,LB,
,5478,Andrew Motuapuaka,ILB,
,1754,Tim Lelito,G,
,2567,Bryan Bennett,QB,
,8169,Tre Turner,WR,
RCB,8275,Josh Jobe,DB,PHI
,936,Matt Asiata,RB,
,2806,Cameron Lynch,LB,
,8187,CJ Verdell,RB,
,2982,Quinton Spain,G,
,6089,Daniel Helm,TE,
,4599,Michael Rector,WR,
,4009,Mark Dominik,,
,6188,Sutton Smith,FB,
RG,8497,Lecitus Smith,OL,ARI
SS,7347,JuJu Hughes,DB,DET
,5644,Bryon Fields,DB,
,1406,Reggie Dunn,WR,
ROLB,5081,Genard Avery,LB,TB
,562,J.D. Walton,C,
FS,5674,Andre Chachere,DB,PHI
,3708,Kyle Kragen,OLB,
,3116,Vance Joseph,,
,6098,Ben Burr-Kirven,LB,SEA
,3852,Jaydon Mickens,WR,
,7927,Grant Hermanns,OL,MIA
,5684,JoJo Wicker,DE,
,5725,Tobenna Okeke,OLB,
,986,Aldon Smith,DE,
,7608,Khalil Herbert,RB,CHI
MLB,5960,T.J. Edwards,LB,PHI
,7823,Nate Hobbs,CB,LV
,2686,Khari Lee,TE,
,1339,Zach Ertz,TE,ARI
SLB,7821,Garret Wallow,LB,HOU
LG,1993,Tyler Shatley,OL,JAX
,3875,Nila Kasitati,G,
RDT,2405,Angelo Blackson,DE,CHI
,954,Cam Newton,QB,
,1020,Terrelle Pryor,WR,
SS,3268,Eric Murray,DB,HOU
,2601,Andre Davis,WR,
,7340,Brandon Polk,WR,
,5638,Shaq Roland,WR,CHI
,4523,Lucas Crowley,C,
RB,6845,Zack Moss,RB,IND
,145,Rashard Mendenhall,RB,
RCB,4216,Desmond King,DB,HOU
RG,7041,Robert Hunt,OL,MIA
,3315,K.J. Dillon,FS,
,1094,Mike Martin,DT,
,6602,Braxton Hoyett,DT,
,940,Andre Holmes,WR,
,1634,Jason Weaver,OT,
RCB,8714,Josh Blackwell,CB,CHI
,1813,Randell Johnson,LB,
,5687,Anthony Sherrils,DB,
RCB,4126,Fabian Moreau,CB,NYG
,472,Darius Butler,FS,
,3076,Mike Pettine,,
,2872,Quayshawne Buckley,DT,
,1848,James White,RB,
,4012,John Morton,,
,6954,Cole McDonald,QB,
,1109,Chandler Harnish,QB,
,7334,Earnest Edwards,WR,
,5663,Shane Wimann,RB,
,6338,Ira Savage-Lewis,NT,
,5295,De'Mornay Pierson-El,WR,
RB,5536,Dontrell Hilliard,RB,TEN
,7929,Jake Burton,G,
,7176,Caleb Repp,TE,
,6269,Kyle Shurmur,QB,
,4362,Cethan Carter,TE,MIA
,1654,Zach Sudfeld,TE,
SS,5655,Ryan Neal,SS,SEA
,6703,Andrew Wellock,K,
RCB,8386,Damarri Mathis,DB,DEN
,3060,Kevin Coyle,,
