week,team,points,matchup,opp,opp_points,user_id,team_avatar,team_name,user_name,expected_wins
4.0,7.0,94.42,3.0,6.0,113.32,726961482822123520,,Dynasty Champ,epestine,0.25942592365197975
5.0,7.0,111.28,5.0,3.0,138.86,726961482822123520,,Dynasty Champ,epestine,0.5624819681855373
8.0,7.0,155.2,4.0,1.0,109.06,726961482822123520,,Dynasty Champ,epestine,0.9743749950313365
9.0,7.0,78.42,2.0,10.0,95.76,726961482822123520,,Dynasty Champ,epestine,0.09255504966888314
10.0,7.0,84.46,4.0,2.0,88.0,726961482822123520,,Dynasty Champ,epestine,0.13978924221471364
1.0,3.0,125.1,5.0,8.0,98.56,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.7886822438557878
2.0,3.0,113.16,5.0,2.0,148.82,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.5977794854547744
3.0,3.0,101.58,4.0,9.0,97.08,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.3782940407783841
7.0,3.0,100.78,3.0,6.0,114.74,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.36389709940418014
6.0,3.0,101.46,5.0,5.0,60.18,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.37612006376252904
4.0,3.0,84.6,4.0,1.0,113.7,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.14109254644230385
5.0,3.0,138.86,5.0,7.0,111.28,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.9151445584300932
8.0,3.0,83.12,2.0,10.0,142.36,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.12781935690431626
9.0,3.0,113.8,1.0,4.0,93.4,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.609586980697995
10.0,3.0,105.8,5.0,8.0,153.96,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM,0.4572642808418778
1.0,8.0,98.56,5.0,3.0,125.1,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.32526290232482624
2.0,8.0,89.3,4.0,9.0,132.8,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.19095844997189057
3.0,8.0,89.82,5.0,7.0,118.88,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.19723066633742925
7.0,8.0,113.32,2.0,10.0,98.34,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.6007425914054287
6.0,8.0,126.8,3.0,6.0,124.98,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.8097058121766009
4.0,8.0,95.34,5.0,2.0,99.78,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.2732874855080437
5.0,8.0,64.04,4.0,1.0,164.9,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.03255352884617722
8.0,8.0,113.48,1.0,4.0,116.42,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.6036983400911982
9.0,8.0,79.46,5.0,5.0,133.38,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.09951479218174374
10.0,8.0,153.96,5.0,3.0,105.8,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22,0.9718759284686169
