pick,player_id,round,round_pick,team,user_id,team_avatar,team_name,user_name
44.0,5859,5.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
57.0,6945,6.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
64.0,5846,7.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
77.0,6783,8.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
84.0,5906,9.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
97.0,5955,10.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
104.0,5890,11.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
117.0,6843,12.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
124.0,8112,13.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
137.0,5347,14.0,4.0,3.0,726948685165961216,https://sleepercdn.com/uploads/739ebd14de68fd2c6451f6e432c0a7d8.jpg,Emmanuel,SagarM
5.0,4881,1.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
16.0,4029,2.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
25.0,4866,3.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
36.0,2216,4.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
45.0,421,5.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
56.0,1479,6.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
65.0,5892,7.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
76.0,5937,8.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
85.0,4040,9.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
96.0,6803,10.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
105.0,6826,11.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
116.0,8132,12.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
125.0,4993,13.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
136.0,3163,14.0,5.0,7.0,726961482822123520,,Dynasty Champ,epestine
6.0,4034,1.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
15.0,7564,2.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
26.0,6786,3.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
35.0,7610,4.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
46.0,4137,5.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
55.0,7523,6.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
66.0,5001,7.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
75.0,6938,8.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
86.0,3199,9.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
95.0,5000,10.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
106.0,4950,11.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
115.0,8138,12.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
126.0,4892,13.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
135.0,1535,14.0,6.0,8.0,96054376162279424,https://sleepercdn.com/uploads/2c995d1c99f8a4a571e1174042e06c3b.jpg,The Dans,Schleck22
7.0,6794,1.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
14.0,5849,2.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
27.0,4988,3.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
34.0,3969,4.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
47.0,2505,5.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
54.0,5045,6.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
67.0,1992,7.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
74.0,6806,8.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
87.0,2306,9.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
94.0,5185,10.0,7.0,4.0,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0
